"id","postcode","place_name","state_name","state_code","latitude","longitude"
8308,"3953",MARDAN,LEONGATHA,VIC,-38.4780006,146.117996
8309,"3953",MOUNT ECCLES,LEONGATHA,VIC,-38.3610001,145.977005
8310,"3953",MOUNT ECCLES SOUTH,LEONGATHA,VIC,-38.4129982,145.994003
8311,"3953",NERRENA,LEONGATHA,VIC,-38.4949989,146.005005
8312,"3953",RUBY,LEONGATHA,VIC,-38.4399986,145.919006
8313,"3953",TRIDA,LEONGATHA,VIC,-38.3149986,145.970993
8314,"3953",WILD DOG VALLEY,LEONGATHA,VIC,-38.3689995,145.944
8315,"3954",KOONWARRA,KOONWARRA,VIC,-38.5470009,145.947998
8316,"3956",DUMBALK,DUMBALK,VIC,-38.5309982,146.095001
8317,"3956",DUMBALK NORTH,MEENIYAN,VIC,-38.5050011,146.167999
8318,"3956",MEENIYAN,MEENIYAN,VIC,-38.5769997,146.014008
8319,"3956",MIRBOO SOUTH,MEENIYAN,VIC,-38.526001,146.207001
8320,"3956",TARWIN,MEENIYAN,VIC,-38.5779991,145.981995
8321,"3956",TARWIN LOWER,MEENIYAN,VIC,-38.7010002,145.869003
8322,"3956",VENUS BAY,MEENIYAN,VIC,-38.7019997,145.826996
8323,"3956",WALKERVILLE,TARWIN LOWER,VIC,-38.8600006,145.998001
8324,"3956",WALKERVILLE SOUTH,MEENIYAN,VIC,-3.88800001,145.981003
8325,"3957",GRASSY SPUR,MEENIYAN,VIC,-37.9440002,145.272995
8326,"3957",STONY CREEK,MEENIYAN,VIC,-38.5830002,146.143997
8327,"3958",BUFFALO,BUFFALO,VIC,-38.6419983,146.074005
8328,"3958",BUFFALO CREEK,BUFFALO,VIC,-38.6339989,146.052002
8329,"3959",FISH CREEK,FISH CREEK,VIC,-38.6940002,146.082001
8330,"3959",HODDLE,FISH CREEK,VIC,-3.86899996,146.143005
8331,"3959",SANDY POINT,FISH CREEK,VIC,-38.8190002,146.117996
8332,"3959",WARATAH BAY,FISH CREEK,VIC,-38.8100014,146.042007
8333,"3959",WARATAH NORTH,FISH CREEK,VIC,-38.7729988,146.072006
8334,"3960",BENNISON,FOSTER,VIC,-38.6679993,146.266006
8335,"3960",BOOLARONG,FOSTER,VIC,-38.5660019,146.255005
8336,"3960",FOSTER,FOSTER,VIC,-3.86500001,146.201996
8337,"3960",FOSTER NORTH,FOSTER,VIC,-38.6209984,146.169998
8338,"3960",GUNYAH,FOSTER,VIC,-38.5660019,146.304993
8339,"3960",MOUNT BEST,FOSTER,VIC,-38.5999985,146.311005
8340,"3960",SHALLOW INLET,FOSTER,VIC,-38.8129997,146.167999
8341,"3960",TIDAL RIVER,FOSTER,VIC,-3.90300012,146.320007
8342,"3960",TURTONS CREEK,FOSTER,VIC,-38.5470009,14.6239996
8343,"3960",WILSONS PROMONTORY,FOSTER,VIC,-38.9239998,146.328995
8344,"3960",WONGA,FOSTER,VIC,-38.6160011,146.253998
8345,"3960",WOORARRA WEST,FOSTER,VIC,-38.5890007,146.184006
8346,"3960",YANAKIE,FOSTER,VIC,-38.8289986,146.238007
8347,"3962",AGNES,TOORA,VIC,-38.6699982,146.395996
8348,"3962",CHRISTIES,TOORA,VIC,-38.5320015,146.391998
8349,"3962",TOORA,TOORA,VIC,-38.6619987,146.326004
8350,"3962",TOORA NORTH,TOORA,VIC,-38.5880013,146.332001
8351,"3962",WONYIP,TOORA,VIC,-3.85500002,146.397003
8352,"3962",WOORARRA,TOORA,VIC,-38.5810013,146.317001
8353,"3962",WOORARRA EAST,TOORA,VIC,-38.6020012,146.380997
